,2,0,0.1,0.1.1,0.1.1.1,0.1.1.1.1,0.1.1.1.1.1,0.1.1.1.1.1.1,0.1.1.1.1.1.1.1,0.1.1.1.1.1.1.1.1,0.1.1.1.1.1.1.1.1.1,0
0,-0.2270300972237833,-0.10676022390693347,-0.363605086374088,-0.7353100126241804,-0.3192718321235453,-0.2117970897882995,-0.06625032244247987,-0.32044827805217035,-0.11821432775884018,-0.3799870844874389,-0.4866919496805925,-0.4281171002399235
1,-0.2486817706330621,-0.10675118086438,-0.5431808319357071,-0.735295253854644,-0.3195819856704564,-0.21179309398621604,-0.06755052518906098,-0.3204480554664654,-0.1189503242928677,-0.3799839073571622,-0.5033505752990636,-0.42811678107755363
2,-0.2487437337320673,-0.10674137200065158,-0.5508160315905595,-0.7352805277080522,-0.6349235134588876,-0.21178909663240025,-0.06861528691410779,-0.33205258480528715,-0.1200679281074112,-0.3799807286017601,-0.5174076643921801,-0.4281164615929682
3,-0.24880543162132585,-0.10673071784056196,-0.5587375976346103,-0.7352658338655771,-0.6348331431544769,-0.21178509772575527,-0.08001916457600762,-0.33524150394936336,-0.12120419420884798,-0.3799775482203108,-0.5193314454100609,-0.4281161418254252
4,-0.248866861990416,-0.10672967151298272,-0.5669580339160115,-0.7352511720134987,-0.872102855411018,-0.21178109726482527,-0.2364098034958321,-0.33524011550835714,-0.12224695395726567,-0.3799743662120229,-0.5225671938659455,-0.4281158217607438
5,,,-0.5755017851714265,-0.7352365418430667,-0.8720872646527053,-0.21177709524870786,-0.2366856428250448,-0.3398762318752056,-0.3231877371940757,-0.3799711825759776,-0.5247200909748494,-0.4281155014280238
6,,,-0.5843887057988392,-0.7352219430504565,-0.8720716684037393,-0.21177309167621725,-0.2369616820624574,-0.33987552644825403,-0.3441054832088417,-0.3799679973113364,-0.7763207202889493,-0.42811518076239535
7,,,-0.5936212729682093,-0.735485501303087,-0.872056066663042,-0.2106342547411229,-0.23723840081880146,-0.3398747265013725,-0.34398063432041764,-0.379887892186322,-0.7763217674429689,-0.4277024613937006
8,,,-0.6603617233143902,-0.7331710366579676,-0.8697629844570975,-0.21118770773763235,-0.2364772310308272,-0.34079758843805263,-0.34385535299124803,-0.3800097645431322,-0.7763228289938363,-0.42782794680826314
9,,,-0.6611613935180571,-0.7331546641447189,-0.8697482996840223,-0.2103576929489268,-0.2350852514925617,-0.34191995210283865,-0.4190896931578144,-0.379443086060122,-0.7763239050632829,-0.4275097293277263
10,,,-0.6621309563316902,-0.7331383273329155,-0.8697336097912951,-0.19498277861659247,-0.23531903554006475,-0.3419195201304801,-0.45858976339320295,-0.37388919436341467,-0.7793774718002281,-0.42448171813581853
11,,,-0.8704717912942879,-0.7331220259131329,-0.8697189147778921,-0.1949792377215815,-0.23555105081056865,-0.34191908783637537,-0.4585429915893427,-0.3738833199035199,-0.7793785675160654,-0.4249439940583679
12,,,-0.8736350460793859,-0.7351194435959115,-0.8723724860285866,-0.19497570254568208,-0.2365664568463409,-0.34227513188813985,-0.4584960406686082,-0.3738774432378431,-0.7793796786972111,-0.4249399656558548
13,,,-0.8738283339045438,-0.7351028156006656,-0.8723572320186507,-0.19497217308941986,-0.2366718029786009,-0.34173894486545137,-0.4750003768629897,-0.3738715643662331,-0.7793808054721229,-0.4249359035574203
14,,,-0.8740332196691573,-0.7350862257844076,-0.8723419725169488,-0.1955902192166833,-0.2722361734140844,-0.34224290843367633,-0.4749986052453727,-0.3734458585344463,-0.7839924072880395,-0.42414137329172624
15,,,-0.8742503403605755,-0.7357721847059278,-0.8723267075226082,-0.1956105276473569,-0.2722293840095321,-0.35147632275043283,-0.4749968325704255,-0.3731915757270811,-0.7841437734914076,-0.42475536496745364
16,,,-0.8734246613638709,-0.7412131023937233,-0.8739331407091491,-0.2629818307209443,-0.2722225954542901,-0.3517996510322015,-0.4749950588371867,-0.3733057036405147,-0.784291365865351,-0.42403342429257174
17,,,-0.8715321771404698,-0.7411988165689973,-0.8739170539643394,-0.4608994761097282,-0.2722158077484873,-0.3520238573023165,-0.4748763187751424,-0.4694949355538602,-0.7844350354749426,-0.4132397205027976
