,2,0,0.1,0.1.1,0.1.1.1,0.1.1.1.1,0.1.1.1.1.1,0.1.1.1.1.1.1,0.1.1.1.1.1.1.1,0.1.1.1.1.1.1.1.1,0.1.1.1.1.1.1.1.1.1,0
0,-0.2461401113156812,-0.3168321610853633,-0.2737046325118473,-0.2943847209067801,-0.2977205138086575,-0.5080847942754629,-0.0914503890697017,-0.4419265772275288,-0.3851767262718101,-0.3682023142204285,-0.2775686651322195,-0.1604235598833366
1,-0.2958338364870998,-0.3171224310827146,-0.2737009277454291,-0.2943776552010643,-0.3192297424441862,-0.5078203367179712,-0.3177629974391605,-0.4418900662290556,-0.3852080379596884,-0.4189602923870796,-0.2810080001517628,-0.16041737869713946
2,-0.2958977216155918,-0.3174090980684635,-0.2736972224946475,-0.2943705755349746,-0.3191966861695456,-1.054053861739679,-0.3177692853148924,-0.4875399347995636,-0.3852393480868062,-0.4189559387269111,-0.2824782826939966,-0.16041120647978666
3,-0.2959604330326904,-0.3176921774738686,-0.2736935167648063,-0.2943634818642662,-0.3221440566087672,-1.05414010626592,-0.3177753542851069,-0.5006540677581139,-0.3852706566528465,-0.4189515841317318,-0.2890573099338282,-0.17289407789531955
4,-0.296022009298775,-0.3179716860213576,-0.2736898104897184,-0.2943563741659895,-0.3221309310379762,-1.0542255910585383,-0.3177812535762464,-0.5005320796321276,-0.3853019636375656,-0.4189472286017684,-0.2891163478842377,-0.1728903491631969
5,,,,-0.2943492523914138,-0.3223984819441851,-1.0543103089978392,-0.3177870203438429,-0.5004105658168942,-0.385333269045101,-0.4189428721313069,-0.4013850331687906,-0.17288661827778337
6,,,,-0.2943421165132641,-0.3252834517180395,-1.0543942531360928,-0.3177926807653414,-0.5002895298850117,-0.3853645728617639,-0.4189385147189718,-0.4010361469447966,-0.4114776864187709
7,,,,,-0.3592463673048658,-1.05362491378766,-0.3166571622357453,-0.4987391969945548,-0.3870295464455734,-0.4568493565276207,-0.4006865343532668,-0.4114699059099895
8,,,,,-0.3595508803454068,-1.054716768714151,-0.3169981053398977,-0.4986119338005447,-0.3870587631617415,-0.4968706983547005,-0.4649411179996021,-0.4114621196586634
9,,,,,-0.3598375597491576,-1.0548346445277186,-0.3156344287337543,-0.498485133675719,-0.3870879770394371,-0.4967891076277799,-0.6626650378128257,-0.43699899736739467
10,,,,,-0.3601051848215919,-1.075576323944823,-0.3156391344823891,-0.4979920414020581,-0.384667049248828,-0.4967074627844458,-0.6631297867900698,-0.4369808368517388
11,,,,,-0.3628859032286379,-1.0756704720478576,-0.3144721480712421,-0.4984702350428472,-0.3846945095071318,-0.4966257638243018,-0.663586338297445,-0.43696267946107253
