,LM,Adam,Grad,SciPy
0,574.0,1722.0,3682.0,420.0
1,574.0,1106.0,5572.0,322.0
2,11214.0,2366.0,3724.0,238.0
3,11214.0,994.0,1708.0,210.0
4,11214.0,1876.0,5348.0,350.0
5,11214.0,1736.0,1526.0,406.0
6,11214.0,882.0,1274.0,224.0
7,11214.0,1386.0,3878.0,364.0
8,11214.0,1204.0,1064.0,294.0
9,11214.0,1302.0,938.0,392.0
10,11214.0,1456.0,644.0,462.0
11,11214.0,1232.0,2002.0,266.0
