,LM,Adam,Grad,SciPy
0,-0.3445267690795026,-1.0927956145038862,-1.094076730211831,-1.0941104775879236
1,-0.0974288071733977,-0.4363577512351924,-0.4363675239749714,-1.0941104775727706
2,-0.3705016153778782,-1.0940241355149285,-1.0940775330312198,-1.0941104775637964
3,-0.296022009298775,-1.0940016162917034,-1.094077570234451,-1.0941104775108914
4,-0.3179716860213576,-1.094105466377021,-1.09407727468319,-1.0941104775752044
5,-0.2736898104897184,-0.436366078522892,-0.4363408571769324,-0.4363740793362131
6,-0.2943421165132641,-1.0941060692206637,-1.094077453684921,-1.0941104775841344
7,-0.3997114179792591,-1.0936107935386838,-1.094077367020115,-1.0941104775827275
8,-1.0756867580541791,-1.091540395332054,-1.094077436299662,-1.0941104775463468
9,-0.8947797728914688,-1.0937491023225785,-1.0940771502897866,-1.0941104775863235
10,-0.832761894214097,-1.0941030785156272,-1.0940768016900717,-1.0941104775371815
11,-0.3580886452004057,-1.0940601257404643,-1.094076923917662,-1.0941104775054058
12,-0.7228141083128726,-0.4363432172949344,-0.4363685175005362,-1.0941104775520605
13,-0.7354149887960997,-0.4287925056474352,-0.4363678732504901,-0.4363740790939547
14,-0.9574540340150046,-1.0941092093475824,-0.4363407485064551,-0.4363740792956397
